id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1376568248544620546,1376568248544620546,2021-03-29 21:58:40 +0545,2021-03-29,21:58:40,+0545,734793544179679232,puri_sharada,Sharada puri,,"बास्तममा कोही मान्छे कमजोर  हुँदैनन  मान्छेलाई कहिले अवस्थाले ,कहिले बेबस्थाले त कहिले बिबसताले कमजोर  बनाइदिन्छ   😳😳",ne,[],[],[],0,1,0,[],[],https://twitter.com/puri_sharada/status/1376568248544620546,False,,0,,kathmandu,,,,,,[],,,,
1316697626901966849,1316697626901966849,2020-10-15 16:54:11 +0545,2020-10-15,16:54:11,+0545,429069896,okeke_masimba,okeke oyono masimba,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",Siku🌤️Hizi Unachokisikia👂🏼Na Unachokiona👀Ni Vitu Viwili🤦‍♂️ Tofauti🤦‍♂️Hivyo Basi Jitahidi🤔Sana Kusikiliza🗣Kupitia Macho😳Kuliko Masikio👂🏼 #Mungu☝️NaWanadam🙏🙏 #TheHeart❣️OfCetral🌎Africa💪  https://t.co/O99utgM3tH,in,[],['https://www.instagram.com/p/CC3zyaSgu_czEdl_yG1XkEVMM2YUkf7yHVZ5Vo0/?igshid=1ap125v29xwjb'],[],0,0,0,"['mungu', 'theheart']",[],https://twitter.com/okeke_masimba/status/1316697626901966849,False,,0,,kathmandu,,,,,,[],,,,
1305490277742780416,1305490277742780416,2020-09-14 18:40:11 +0545,2020-09-14,18:40:11,+0545,1132573552589172736,devthapaa,Dev Thapa,,Timi vanda ramro xa yaar yo view🤭😳🤪😂  https://t.co/XIYfEso3iS,in,[],[],['https://pbs.twimg.com/media/Eh4Ie-AUMAA2ZRT.jpg'],1,0,2,[],[],https://twitter.com/DevThapaa/status/1305490277742780416,False,,1,https://pbs.twimg.com/media/Eh4Ie-AUMAA2ZRT.jpg,kathmandu,,,,,,[],,,,
1287086114231050241,1287086114231050241,2020-07-25 23:48:37 +0545,2020-07-25,23:48:37,+0545,2501697452,ic3mvvn,Ice 🥶,,Just dropped the soap 😳,en,[],[],[],3,0,16,[],[],https://twitter.com/ic3mvvn/status/1287086114231050241,False,,0,,kathmandu,,,,,,[],,,,
1280059327068336129,1280059327068336129,2020-07-06 14:26:40 +0545,2020-07-06,14:26:40,+0545,134416479,rastaasim,Barista Dreadlock 🍀,,"कफि खाईदिमनत भनेर लएको , कफिले पो खाईदेला जसेरि हेर्छ त। 😳  https://t.co/UeIvaPI7Kh",ne,[],[],['https://pbs.twimg.com/media/EcOvKLtUEAA9vRH.jpg'],1,0,5,[],[],https://twitter.com/RastaAsim/status/1280059327068336129,False,,1,https://pbs.twimg.com/media/EcOvKLtUEAA9vRH.jpg,kathmandu,,,,,,[],,,,
1254599622040920065,1254599622040920065,2020-04-27 08:18:53 +0545,2020-04-27,08:18:53,+0545,76680438,aclassicmom,A-Classic-Mom,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",When you are disturbed 😳 while taking a picture... take out your avenge by hisssssss sss- ing at that person .. Watch this video closely my inner itchadhari Nagin 🐍 just came out ! That’s my #dontmesswithme…  https://t.co/OAgh6big9k,en,[],['https://www.instagram.com/p/B_d6mcqDV37/?igshid=11884baqqqun'],[],0,0,0,['dontmesswithme'],[],https://twitter.com/aclassicmom/status/1254599622040920065,False,,0,,kathmandu,,,,,,[],,,,
1225312446799282176,1225312446799282176,2020-02-06 12:42:07 +0545,2020-02-06,12:42:07,+0545,188912423,yolmofy,Raj Yolmo Lama,"{'type': 'Point', 'coordinates': [27.71345111, 85.32523155]}","Busby Babes 🙏😳 A broken heart a broken dream, A broken plane a broken team, No words were said a silent vow, We loved you then we love you now,  The red flag will always fly, For Man United will never die  !! 🙏…  https://t.co/tZIEUcimse",en,[],['https://www.instagram.com/p/B8N1cwNFAg7/?igshid=ts4k5i7egara'],[],0,0,0,[],[],https://twitter.com/Yolmofy/status/1225312446799282176,False,,0,,kathmandu,,,,,,[],,,,
1200323547765207040,1200321753320345601,2019-11-29 13:45:09 +0545,2019-11-29,13:45:09,+0545,162171380,mariaarrue,*mA,,Esa tarta 🎂 me mira raro! 😳  https://t.co/M1dK9jTrVy,es,[],[],['https://pbs.twimg.com/media/EKhn5PyUEAEFOLf.jpg'],1,0,1,[],[],https://twitter.com/mariaArrue/status/1200323547765207040,False,,1,https://pbs.twimg.com/media/EKhn5PyUEAEFOLf.jpg,kathmandu,,,,,,[],,,,
1187433201372823552,1187433201372823552,2019-10-25 00:03:31 +0545,2019-10-25,00:03:31,+0545,288196629,gp_bhandari,Gp Bhandari,"{'type': 'Point', 'coordinates': [27.7139544, 85.3085174]}",Doeiiiiiii 😳 #cat #jumpingcat #gpbhandariphotography #thamel #kathmandu #kumarinursery #catphotography #nepal @ Kumari Nursery  https://t.co/3p2XZSl2P3,in,[],['https://www.instagram.com/p/B4Ar9gJJK5S/?igshid=uo2bf1c5zceg'],[],0,0,0,"['cat', 'jumpingcat', 'gpbhandariphotography', 'thamel', 'kathmandu', 'kumarinursery', 'catphotography', 'nepal']",[],https://twitter.com/gp_bhandari/status/1187433201372823552,False,,0,,kathmandu,,,,,,[],,,,
1156841304019668992,1156841304019668992,2019-08-01 14:02:14 +0545,2019-08-01,14:02:14,+0545,1660705710,shresthaemi,emi shrestha,"{'type': 'Point', 'coordinates': [27.67956148, 85.30780524]}","☺️😋😳😱😍🤩🥳 चाईचाई chocolate available at Sam’s Deli, Jhamshikhel from August 1, 2019. Stop by and get your own box of happiness today! #चाईचाईchocolate #gourmet #homemade #chocolates #madetoorder #madewithlove…  https://t.co/zrgz13vRIu",en,[],['https://www.instagram.com/p/B0nUYJvAoS3/?igshid=1twfdkmvi23tq'],[],0,0,0,"['चाईचाईchocolate', 'gourmet', 'homemade', 'chocolates', 'madetoorder', 'madewithlove']",[],https://twitter.com/shresthaemi/status/1156841304019668992,False,,0,,kathmandu,,,,,,[],,,,
1146123979524063232,1146123979524063232,2019-07-03 00:15:25 +0545,2019-07-03,00:15:25,+0545,288196629,gp_bhandari,Gp Bhandari,"{'type': 'Point', 'coordinates': [27.69980055, 85.35735205]}",It’s hard to believe that TIA (TRIBHUWAN INTERNATIONAL AIRPORT) is in good progress 😳😳 || #tia #tribhuwaninternationalairport #kathmanduairport #airport #nepal #gpbhandariphotography #nightphotography #longexposure…  https://t.co/KbuhTIrPma,en,[],['https://www.instagram.com/p/BzbKs7ipU6K/?igshid=lnx3kif4rk44'],[],0,0,0,"['tia', 'tribhuwaninternationalairport', 'kathmanduairport', 'airport', 'nepal', 'gpbhandariphotography', 'nightphotography', 'longexposure']",[],https://twitter.com/gp_bhandari/status/1146123979524063232,False,,0,,kathmandu,,,,,,[],,,,
1139829124212625408,1139829124212625408,2019-06-15 15:21:54 +0545,2019-06-15,15:21:54,+0545,2787144360,nepalplanettrek,Visit Nepal 2021/2022 - Lifetime Experience,"{'type': 'Point', 'coordinates': [27.71835875, 85.32707739]}","Tenzing–Hillary Airport in Lukla (2860m) - the most dangerous airport in the world and gateway to Mount Everest! Unbelievable , that the runaway was not paved until 2001! 😳 . . . . . . . . #nepal #himalaya #bergpic…  https://t.co/7keb7BrnmY",en,[],['https://www.instagram.com/p/ByucIgChTAa/?igshid=1ad6v1zalvkmd'],[],0,0,0,"['nepal', 'himalaya', 'bergpic']",[],https://twitter.com/nepalplanettrek/status/1139829124212625408,False,,0,,kathmandu,,,,,,[],,,,
1114679440175443970,1114679440175443970,2019-04-07 05:46:02 +0545,2019-04-07,05:46:02,+0545,35860087,nateu2,Nate Roberts,"{'type': 'Point', 'coordinates': [27.72152069, 85.36196578]}",Good morning Nepal! Today we start the trek after what’s sure to be a white-knuckle plane ride to Lukla airport - the most dangerous airport in the world (no really - google it 😳) @…  https://t.co/2ed1uRv9tg,en,[],['https://www.instagram.com/p/Bv7vYgNFKWH/?utm_source=ig_twitter_share&igshid=1b2rl7pffgoe5'],[],0,0,1,[],[],https://twitter.com/NateU2/status/1114679440175443970,False,,0,,kathmandu,,,,,,[],,,,
1099924521895772160,1099924521895772160,2019-02-25 12:35:16 +0545,2019-02-25,12:35:16,+0545,948087015290978304,namcheyofficial,Namchey,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",Photo by: milkycoffee1 Can’t believe it’s almost a year since I started to pack my bags for Nepal 😳🇳🇵 . Tag us or use #namcheyOfficial to get featured on Namchey. . #Kathmandu #nepal…  https://t.co/rcIvh1QOFi,en,[],['https://www.instagram.com/p/BuS5aDVADAE/?utm_source=ig_twitter_share&igshid=m8fxmhn93pwt'],[],0,0,0,"['namcheyofficial', 'kathmandu', 'nepal']",[],https://twitter.com/NamcheyOfficial/status/1099924521895772160,False,,0,,kathmandu,,,,,,[],,,,
1070307153536278528,1070307153536278528,2018-12-05 19:06:25 +0545,2018-12-05,19:06:25,+0545,1660705710,shresthaemi,emi shrestha,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",When you get pampered by your eldest sister... 😳🤩😍😌😘 @ashrestha #VS #victoriassecret #victoriasecretproduct #victoriasecretangels #victoriasecretperfume #victoriasecretvelvetmatte…  https://t.co/bzAl9CrCvw,en,"[{'screen_name': 'ashrestha', 'name': 'abhilasha shrestha, phd, mph', 'id': '21063563'}]",['https://www.instagram.com/p/BrAdMZAAoFS/?utm_source=ig_twitter_share&igshid=1ahrr82mx6yme'],[],0,0,0,"['vs', 'victoriassecret', 'victoriasecretproduct', 'victoriasecretangels', 'victoriasecretperfume', 'victoriasecretvelvetmatte']",[],https://twitter.com/shresthaemi/status/1070307153536278528,False,,0,,kathmandu,,,,,,[],,,,
1065789528835792899,1065789528835792899,2018-11-23 07:54:59 +0545,2018-11-23,07:54:59,+0545,1533844380,erincourtgreen,Erin Green,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}","This American turkey thought it was getting a warm bath after such a long journey to the American Club in Kathmandu. Sadly for him, that was not a bathtub. 😳🤷🏽‍♀️🇺🇸🦃🤦🏾‍♀️ @ Kathmandu, Nepal  https://t.co/212xIj5vYa",en,[],['https://www.instagram.com/p/BqgWyfAgCJM/?utm_source=ig_twitter_share&igshid=4ozzpgq8pryi'],[],0,0,1,[],[],https://twitter.com/erincourtgreen/status/1065789528835792899,False,,0,,kathmandu,,,,,,[],,,,
